language_encoded,budget_scaled,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
5,-0.16107544165755194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.29928186867707574,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,-2.3128215284553217,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
5,-1.2408214036465681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,-0.3969193439551215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,0.5747777125903657,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0.6089762649682458,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,-0.6469239461487025,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.0108726763628235,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5,-0.5533276260043687,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.15573506063042264,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
5,0.6089762649682458,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
5,0.48118138243273034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3731323493196066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,-0.13166142307524328,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5,-0.6469239461487025,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.7851304102545325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,-0.26912446976402493,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,0.702572595543103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.11271618187368436,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
5,-0.7549729659107567,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-2.167280800702723,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0.3731323493196066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-9.410895313922634,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.5250244722705444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,-0.2518166461383195,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.47860153464719934,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0.4649741567926931,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.5985646897026017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0.015078696211472802,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
5,0.3731323493196066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0606262583863895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1.0606262583863895,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,-0.7549729659107567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0.05297610186965283,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,-1.5250244722705444,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0.7311860086582388,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1.4713137782040797,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.3969193439551215,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,1.015389189431174,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
5,0.08892917555598262,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,-0.8827678284196677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.5533276260043687,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
5,-1.5250244722705444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,-0.06747911525490406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.015078696211472802,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
