original_language,budget,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
en,18000000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
en,1000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,43000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,15000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ko,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
en,30000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
en,84000000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,25000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,15000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,25000000,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
en,25000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
id,1100000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,44500000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,30000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
en,5000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,140000000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,30000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,65000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,5000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
en,50000000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
en,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,4000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,79000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,25000000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
en,27000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,70000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
en,9000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,2000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
en,17000000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
en,60000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,75000000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,3500000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,200000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,60000000,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,28000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zh,40000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
en,35000000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,25000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,60000000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,17000000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,113000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,55000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,30000000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
en,85000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,135000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,75000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,5000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
en,17000000,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
en,26000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fr,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,26000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
es,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
en,40000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,25000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,35000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,35000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
hi,550000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,3000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,72000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,2000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,30000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,40000000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
en,40000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,8000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,20000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,17000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
